"","elig","annint","hrint","anncov","hrcov","QALY","stiasympttests","hivtestcosts","hivhealthcosts","stisympttestcosts","gc.asympttestcosts","ct.asympttestcosts","syph.asympttestcosts","rect.asympttestcosts","ureth.asympttestcosts","stitxcosts","stiasympttestcosts","overallcosts","incremover","incremQALYover","costpqaly","costpoverqaly"
"1","all",52,26,0,0,59762413.7292308,0,37644970.125,370539452297.918,10562508.72,0,12201,0,0,0,525139.95,0,370588184916.713,0,0,6199.50364263743,0
"2","all",52,26,0,0.4,59771650.4087981,329316,37678672.5,369721390053.453,9836348.08,18551988,18525748.5,10436270.41,18803505,18270556.5,338982.975,47510331.91,369816754388.918,47510331.91,9236.67956730723,6187.15983011376,5143.65920824627
"3","sti",52,26,0,0.4,59766775.5112019,56171.5,37662582.125,369962390634.734,10228260.91,3238557,3234147,1659403.74,3222534,3232309.5,440811.15,8114247.24,370018836536.159,8114247.24,4361.78197114915,6191.04566661469,1860.30555714875
"4","recentpartners",52,26,0,0.4,59792694.0918269,293253.5,37681100.625,369863059810.393,9883511.76,16553964,16527651,9234721.89,16792324.5,16285615.5,354601.6,42312661.89,369953291686.268,42312661.89,30280.3625961542,6187.26580739297,1397.36311794939
"5","newpartners",52,26,0,0.4,59784965.0027404,325112.5,37670934.875,369872328011.519,9844924.26,18339940.5,18329209.5,10242734.21,18566982,18099375,343845.175,46909091.21,369967096807.039,46909091.21,22551.2735096142,6188.29661922661,2080.10830031401
"6","concurrpartner",52,26,0,0.4,59762968.4377404,0,37654553.125,370319842014.5,10560209.19,0,12201,0,0,0,524319.425,0,370368581096.24,0,554.708509609103,6197.29224933131,0
"7","partnersti",52,26,0,0.4,59778441.4241827,0,37648822.75,370578461487.778,10536545.73,0,12201,0,0,0,516619.6,0,370627163475.858,0,16027.6949519217,6200.01382849578,0
"8","uai.nmain",52,26,0,0.4,59780658.2461539,251262.5,37672586,369816768326.791,9875230.83,14241286.5,14215855.5,7822245.98,14392843.5,14046585,344387.8,36261674.48,369900922205.901,36261674.48,18244.5169230774,6187.63548375113,1987.53820848678
"9","uai.any",52,26,0,0.4,59787077.7331731,314723.5,37680032.25,369788551092.27,9827945.76,17777739,17754439.5,9887669.72,17999856,17524972.5,331430.275,45412498.22,369881802998.775,45412498.22,24664.0039423034,6186.65131367584,1841.24598448142
"10","cdc1",52,26,0,0.4,59779117.8055288,326365.5,37682039.5,369733004012.375,9836980.43,18387348,18359712,10341464.74,18638350.5,18104961,338556.175,47084776.24,369827946364.72,47084776.24,16704.0762980729,6186.5741740758,2818.75964883086
"11","cdc2",52,26,0,0.4,59780962.7119712,326389,37676438.625,369767337279.756,9843724.94,18390949.5,18370002,10340179.01,18624606,18123556.5,343381.625,47088341.51,369862289166.456,47088341.51,18548.9827403873,6186.95772680139,2538.59428137118
"12","cdc3",52,26,0,0.4,59765441.3625,314166.5,37668571.5,369797957950.324,9848722.94,17736432,17733198,9889496.81,17955388.5,17485576.5,343601.425,45330461.81,369891149307.999,45330461.81,3027.63326922804,6189.04739721522,14972.2432603464
"13","cdc4",52,26,0,0.4,59767817.7292789,0,37644873,370482060852.824,10570237.88,0,12201,0,0,0,527761.45,0,370530803725.154,0,5404.0000480786,6199.50364263743,0
