"","anncov","hrcov","annint","hrint","partcut","gc.incid","gc.pia","gc.nnt","gc.asympt.tests.py","gc.asympt.tests","gctx","gctxpy","ct.incid","ct.pia","ct.nnt","ct.asympt.tests.py","ct.asympt.tests","cttx","cttxpy","sti.incid","sti.pia","sti.nnt","txperpy.sti","sti.asympt.tests.py","sti.asympt.tests","tx.sti","gc.incid.g1","gc.pia.g1","gc.nnt.g1","gc.asympt.tests.py.g1","gc.asympt.tests.g1","gctx.g1","gctxpy.g1","ct.incid.g1","ct.pia.g1","ct.nnt.g1","ct.asympt.tests.py.g1","ct.asympt.tests.g1","cttx.g1","cttxpy.g1","sti.incid.g1","sti.pia.g1","sti.nnt.g1","txperpy.sti.g1","sti.asympt.tests.py.g1","sti.asympt.tests.g1","tx.sti.g1","gc.incid.g2","gc.pia.g2","gc.nnt.g2","gc.asympt.tests.py.g2","gc.asympt.tests.g2","gctx.g2","gctxpy.g2","ct.incid.g2","ct.pia.g2","ct.nnt.g2","ct.asympt.tests.py.g2","ct.asympt.tests.g2","cttx.g2","cttxpy.g2","sti.incid.g2","sti.pia.g2","sti.nnt.g2","txperpy.sti.g2","sti.asympt.tests.py.g2","sti.asympt.tests.g2","tx.sti.g2"
"1",0.44,0,52,26,1,"2.98 (1.58 - 4.72)","0 (0 - 0)","NA (NA - NA)","0.7 (0.69 - 0.7)","77372 (76886 - 78033)","434 (304 - 553)","3.58 (3.5 - 3.64)","5.35 (4.29 - 6.36)","0 (0 - 0)","NA (NA - NA)","0.69 (0.68 - 0.69)","76066 (75694 - 76525)","548 (452 - 626)","1.46 (1.43 - 1.47)","3.3 (2.65 - 4.17)","0 (0 - 0)","NA (NA - NA)","2 (1.86 - 2.17)","1.38 (1.38 - 1.39)","153512 (152661 - 154380)","9708 (7761 - 11420)","3.44 (1.81 - 5.56)","0 (0 - 0)","NA (NA - NA)","1.67 (1.66 - 1.68)","77372 (76886 - 78033)","228 (161 - 282)","4.14 (4.04 - 4.26)","6.2 (5 - 7.37)","0 (0 - 0)","NA (NA - NA)","1.64 (1.63 - 1.65)","76066 (75694 - 76525)","329 (277 - 386)","2.21 (2.17 - 2.24)","4.85 (3.75 - 6.34)","0 (0 - 0)","NA (NA - NA)","2.79 (2.61 - 2.93)","1.38 (1.38 - 1.39)","153512 (152661 - 154380)","5578 (4494 - 6536)","0 (0 - 0)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","NA (NA - NA)","NA (NA - NA)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"2",0.44,0.05,26,26,1,"0 (0 - 0.24)","0.71 (0.55 - 0.83)","19.84 (13.02 - 34.57)","1.66 (1.66 - 1.66)","184052 (183200 - 185316)","375 (282 - 488)","4.25 (4.03 - 4.44)","0.1 (0.01 - 0.21)","0.78 (0.7 - 0.81)","11.87 (10.15 - 14.67)","1.65 (1.65 - 1.66)","183098 (181865 - 184658)","713 (576 - 790)","2.28 (2.17 - 2.37)","0.09 (0.03 - 0.18)","0.74 (0.68 - 0.8)","15.46 (12.19 - 19.4)","2.92 (2.66 - 3.27)","3.31 (3.3 - 3.32)","367261 (364941 - 369964)","3238 (2688 - 3826)","0 (0 - 0.39)","2.65 (1.22 - 4.8)","26.77 (17.62 - 44.91)","3.67 (3.66 - 3.68)","148261 (147291 - 149172)","208 (150 - 264)","5.64 (5.51 - 5.9)","0.13 (0.01 - 0.3)","3.44 (2.44 - 4.3)","16.06 (13.71 - 19.21)","3.64 (3.64 - 3.65)","147144 (146357 - 148515)","443 (364 - 492)","3.85 (3.66 - 3.97)","0.14 (0.04 - 0.32)","2.88 (2.12 - 4.04)","20.58 (16.04 - 26.42)","4.55 (4.25 - 4.9)","2.67 (2.66 - 2.67)","295495 (293666 - 297652)","1882 (1579 - 2227)","0 (0 - 0.3)","-1 (-1 - -1)","-591.7 (-907.79 - -407.01)","11.13 (11.06 - 11.23)","36021 (35659 - 36210)","21 (16 - 27)","4.08 (3.05 - 5.03)","0 (0 - 0.31)","-1 (-1 - -1)","-379.83 (-446.23 - -331.02)","11.12 (11.05 - 11.2)","35960 (35583 - 36153)","67 (57 - 75)","5.88 (5.17 - 6.57)","0.08 (0 - 0.25)","-1 (-1 - -1)","-458 (-536.74 - -374.79)","6.83 (5.92 - 7.65)","0.65 (0.64 - 0.65)","71999 (71255 - 72338)","271 (217 - 303)"
"3",0.44,0.05,39,26,1,"0.32 (0 - 1.01)","0.58 (0.25 - 0.75)","12.79 (7.27 - 30.39)","1.33 (1.32 - 1.33)","147128 (146006 - 148388)","410 (296 - 551)","4.03 (3.86 - 4.15)","0.38 (0.14 - 0.64)","0.65 (0.57 - 0.72)","9.5 (7.69 - 11.73)","1.32 (1.31 - 1.32)","146101 (145127 - 147328)","646 (554 - 754)","2.05 (1.99 - 2.1)","0.33 (0.15 - 0.55)","0.61 (0.49 - 0.7)","12.31 (9.55 - 17)","2.66 (2.43 - 3)","2.65 (2.64 - 2.65)","293192 (291208 - 295730)","4368 (3612 - 5400)","0.38 (0 - 1.16)","1.47 (0.36 - 3.14)","10.35 (5.75 - 22.52)","2.42 (2.42 - 2.43)","104389 (103460 - 105273)","202 (155 - 277)","4.72 (4.6 - 4.93)","0.46 (0.17 - 0.79)","2.01 (1.44 - 2.66)","7.35 (5.88 - 9.09)","2.4 (2.4 - 2.41)","103388 (102750 - 104310)","360 (317 - 419)","2.84 (2.74 - 2.92)","0.51 (0.24 - 0.86)","1.65 (1.06 - 2.55)","9.42 (7.33 - 12.96)","3.44 (3.24 - 3.77)","1.88 (1.87 - 1.88)","207890 (206396 - 209618)","2336 (1902 - 2837)","0.31 (0 - 1.09)","-1 (-1 - -1)","-466.78 (-688.83 - -288.59)","13.3 (13.18 - 13.4)","42814 (42468 - 43151)","28 (21 - 36)","6.4 (4.96 - 8.11)","0.32 (0 - 0.77)","-1 (-1 - -1)","-305.68 (-363.29 - -252.03)","13.27 (13.16 - 13.38)","42746 (42398 - 43112)","85 (72 - 97)","9.51 (8.38 - 10.5)","0.46 (0.16 - 0.93)","-1 (-1 - -1)","-356.95 (-443.16 - -284.21)","10.44 (9.2 - 11.17)","0.77 (0.77 - 0.78)","85563 (84865 - 86274)","454 (391 - 542)"
"4",0.44,0.05,52,26,1,"0.96 (0.29 - 1.94)","0.37 (-0.01 - 0.62)","8.35 (-10.91 - 17.18)","1.13 (1.13 - 1.14)","125839 (124984 - 126738)","432 (320 - 537)","3.88 (3.74 - 3.98)","1.05 (0.58 - 1.45)","0.56 (0.4 - 0.64)","7.27 (5.85 - 10.2)","1.13 (1.13 - 1.13)","125048 (124317 - 125952)","602 (508 - 726)","1.87 (1.84 - 1.9)","0.84 (0.51 - 1.31)","0.48 (0.32 - 0.62)","10.6 (6.82 - 18.31)","2.51 (2.34 - 2.75)","2.26 (2.26 - 2.27)","250774 (249388 - 252677)","5682 (4562 - 6686)","1.13 (0.3 - 2.12)","0.67 (0.06 - 1.81)","0.59 (-0.02 - 1.6)","1.77 (1.76 - 1.78)","79070 (78493 - 79790)","202 (153 - 256)","4.22 (4.02 - 4.35)","1.16 (0.64 - 1.69)","1.41 (0.78 - 1.94)","0.69 (0.47 - 1.06)","1.76 (1.75 - 1.76)","78437 (77966 - 78952)","302 (259 - 363)","2.28 (2.23 - 2.33)","1.17 (0.72 - 1.92)","1.02 (0.6 - 1.72)","0.84 (0.49 - 1.42)","2.91 (2.72 - 3.16)","1.42 (1.42 - 1.43)","157374 (156527 - 158638)","2749 (2257 - 3297)","1.11 (0.31 - 2.01)","-1 (-1 - -1)","-357.23 (-506.29 - -238.54)","14.5 (14.4 - 14.6)","46688 (46383 - 47054)","32 (24 - 41)","9.06 (7.07 - 10.46)","1.24 (0.62 - 1.87)","-1 (-1 - -1)","-243.88 (-302.5 - -206.22)","14.49 (14.38 - 14.59)","46650 (46331 - 46985)","93 (84 - 119)","11.95 (11.06 - 12.64)","1.15 (0.8 - 1.83)","-1 (-1 - -1)","-278.19 (-355.12 - -234.04)","12.51 (11.99 - 12.97)","0.84 (0.84 - 0.85)","93362 (92714 - 94052)","685 (552 - 792)"
"5",0.44,0.05,64,26,1,"1.33 (0.7 - 2.74)","0.32 (-0.18 - 0.58)","5.52 (-8.55 - 11.53)","1.02 (1.01 - 1.02)","112582 (112026 - 113319)","401 (304 - 531)","3.79 (3.69 - 3.89)","1.69 (1.15 - 2.34)","0.38 (0.26 - 0.54)","7.53 (5.05 - 11.03)","1.01 (1.01 - 1.01)","111967 (111344 - 112555)","628 (516 - 705)","1.76 (1.73 - 1.78)","1.3 (0.9 - 1.88)","0.34 (0.16 - 0.51)","8.14 (5.25 - 17.48)","2.38 (2.19 - 2.57)","2.03 (2.02 - 2.03)","224628 (223570 - 225716)","6820 (5494 - 7905)","1.43 (0.79 - 3.05)","0.54 (-0.1 - 1.52)","-5.24 (-10.91 - 5.74)","1.4 (1.39 - 1.4)","63582 (63271 - 64047)","188 (144 - 248)","3.91 (3.78 - 4.03)","1.83 (1.25 - 2.7)","0.74 (0.43 - 1.35)","-5 (-7.88 - -3.75)","1.38 (1.38 - 1.39)","63047 (62737 - 63428)","296 (246 - 328)","1.93 (1.89 - 1.97)","1.74 (1.27 - 2.57)","0.66 (0.29 - 1.19)","-6.23 (-11.41 - -4.23)","2.55 (2.35 - 2.74)","1.14 (1.14 - 1.15)","126704 (126006 - 127361)","3236 (2591 - 3735)","1.53 (0.77 - 3.9)","-1 (-1 - -1)","-292.77 (-479.17 - -211.76)","15.26 (15.14 - 15.37)","49043 (48685 - 49346)","34 (24 - 43)","10.12 (8.23 - 11.55)","2.02 (1.08 - 2.71)","-1 (-1 - -1)","-194.42 (-245.25 - -165.7)","15.25 (15.13 - 15.36)","48990 (48592 - 49251)","111 (97 - 124)","13.8 (13.26 - 14.27)","1.88 (1.22 - 2.9)","-1 (-1 - -1)","-234.85 (-286.96 - -193.36)","13.79 (13.39 - 14.21)","0.88 (0.88 - 0.89)","98031 (97271 - 98596)","878 (738 - 1032)"
"6",0.44,0.05,77,26,1,"2.11 (1.38 - 3.38)","0.14 (-0.37 - 0.44)","3.33 (-10.19 - 8.33)","0.92 (0.92 - 0.93)","102462 (101841 - 103127)","446 (320 - 563)","3.72 (3.61 - 3.78)","2.69 (1.99 - 3.4)","0.3 (0.11 - 0.41)","5.79 (3.41 - 9.47)","0.92 (0.92 - 0.92)","101992 (101285 - 102610)","602 (509 - 676)","1.67 (1.66 - 1.7)","2 (1.57 - 2.46)","0.23 (0.04 - 0.37)","7.2 (3.76 - 15.4)","2.28 (2.12 - 2.52)","1.84 (1.84 - 1.85)","204437 (203130 - 205703)","7884 (6537 - 9424)","2.29 (1.33 - 3.78)","0.28 (-0.2 - 0.89)","-7.07 (-15.62 - 24.94)","1.12 (1.11 - 1.12)","51714 (51366 - 52010)","198 (140 - 255)","3.7 (3.58 - 3.77)","2.96 (2.14 - 3.76)","0.54 (0.22 - 0.82)","-10.97 (-17.23 - -6.88)","1.11 (1.1 - 1.11)","51284 (50934 - 51581)","259 (228 - 301)","1.69 (1.66 - 1.72)","2.72 (2.1 - 3.37)","0.4 (0.13 - 0.73)","-13.67 (-25.4 - -7.85)","2.3 (2.14 - 2.51)","0.93 (0.92 - 0.93)","102991 (102338 - 103614)","3589 (2922 - 4206)","2.33 (1.42 - 4.51)","-1 (-1 - -1)","-252.1 (-368.69 - -180.92)","15.73 (15.64 - 15.91)","50862 (50384 - 51234)","38 (27 - 47)","11.2 (9.84 - 12.32)","3.25 (2.06 - 4.3)","-1 (-1 - -1)","-168.28 (-189.79 - -143.04)","15.71 (15.6 - 15.89)","50784 (50302 - 51151)","115 (98 - 133)","14.78 (14.17 - 15.16)","2.95 (2.11 - 4.07)","-1 (-1 - -1)","-194.8 (-232.45 - -162.1)","14.56 (14.21 - 15.02)","0.92 (0.91 - 0.92)","101664 (100698 - 102385)","1114 (944 - 1284)"
"7",0.44,0.05,52,4,1,"0.45 (0.03 - 0.99)","0.55 (0.25 - 0.72)","16.2 (9.48 - 31.02)","1.55 (1.55 - 1.55)","171992 (170394 - 172925)","402 (319 - 529)","4.04 (3.85 - 4.17)","0.55 (0.25 - 0.84)","0.61 (0.5 - 0.71)","13.78 (10.3 - 18.36)","1.54 (1.54 - 1.55)","171160 (169716 - 172418)","675 (555 - 744)","2.03 (1.98 - 2.08)","0.41 (0.21 - 0.73)","0.57 (0.43 - 0.69)","17.29 (12.38 - 27.46)","2.67 (2.46 - 2.84)","3.09 (3.09 - 3.1)","343055 (340147 - 345510)","4756 (3646 - 5813)","0.48 (0.03 - 1.16)","1.35 (0.39 - 2.7)","-0.04 (-0.43 - 0.4)","1.73 (1.72 - 1.74)","77285 (76688 - 77742)","188 (148 - 253)","4.11 (3.99 - 4.29)","0.62 (0.3 - 1.01)","1.78 (1.14 - 2.68)","0.14 (-0.06 - 0.35)","1.71 (1.71 - 1.72)","76578 (75945 - 77042)","315 (264 - 357)","2.22 (2.16 - 2.27)","0.6 (0.34 - 1.01)","1.47 (0.93 - 2.55)","0.08 (-0.21 - 0.33)","2.84 (2.66 - 3.06)","1.39 (1.38 - 1.39)","153852 (152633 - 154692)","2240 (1720 - 2732)","0.47 (0 - 1.38)","-1 (-1 - -1)","-799.62 (-1298 - -583.1)","29.36 (29.23 - 29.5)","94693 (93798 - 95426)","42 (32 - 55)","11.67 (8.72 - 13.96)","0.7 (0.41 - 1.14)","-1 (-1 - -1)","-520.28 (-654.45 - -438.45)","29.32 (29.2 - 29.47)","94614 (93695 - 95327)","134 (114 - 151)","18.05 (16.07 - 19.98)","0.74 (0.32 - 1.25)","-1 (-1 - -1)","-616.49 (-821.42 - -510.94)","19.14 (17.78 - 20.68)","1.71 (1.7 - 1.71)","189312 (187572 - 190792)","762 (596 - 903)"
"8",0.44,0.05,52,13,1,"0.52 (0.05 - 1.27)","0.55 (0.15 - 0.77)","9.59 (5.42 - 17.16)","1.26 (1.25 - 1.26)","139324 (138284 - 140333)","403 (300 - 529)","3.96 (3.83 - 4.1)","0.68 (0.34 - 1.06)","0.62 (0.45 - 0.69)","8.55 (7.04 - 12.85)","1.25 (1.24 - 1.25)","138537 (137566 - 139470)","660 (534 - 727)","1.95 (1.91 - 1.99)","0.52 (0.33 - 0.89)","0.59 (0.44 - 0.68)","10.46 (7.85 - 15.62)","2.56 (2.29 - 2.82)","2.5 (2.49 - 2.51)","277842 (275874 - 279824)","4877 (3946 - 5797)","0.61 (0.06 - 1.33)","1.31 (0.26 - 3.73)","0.12 (-0.34 - 0.51)","1.75 (1.74 - 1.75)","77888 (77471 - 78668)","190 (150 - 249)","4.17 (4.04 - 4.36)","0.75 (0.34 - 1.17)","1.74 (0.97 - 2.44)","0.33 (0.13 - 0.61)","1.73 (1.72 - 1.74)","77296 (76790 - 77838)","310 (268 - 352)","2.22 (2.17 - 2.29)","0.75 (0.45 - 1.16)","1.6 (0.9 - 2.22)","0.28 (0.01 - 0.63)","2.87 (2.64 - 3.11)","1.4 (1.39 - 1.4)","155122 (154186 - 156528)","2303 (1933 - 2821)","0.62 (0 - 1.56)","-1 (-1 - -1)","-553.1 (-914.2 - -361.74)","19.03 (18.86 - 19.16)","61436 (60789 - 61819)","37 (29 - 49)","9.99 (7.14 - 12.24)","0.92 (0.32 - 1.55)","-1 (-1 - -1)","-338.39 (-416.4 - -283.85)","19.01 (18.81 - 19.14)","61300 (60720 - 61704)","123 (100 - 139)","15.13 (13.53 - 16.14)","0.91 (0.45 - 1.49)","-1 (-1 - -1)","-421.36 (-505.22 - -335.38)","16.02 (15.24 - 16.89)","1.1 (1.1 - 1.11)","122760 (121531 - 123573)","689 (592 - 801)"
"9",0.44,0.05,52,26,1,"0.96 (0.29 - 1.94)","0.37 (-0.01 - 0.62)","8.35 (-10.91 - 17.18)","1.13 (1.13 - 1.14)","125839 (124984 - 126738)","432 (320 - 537)","3.88 (3.74 - 3.98)","1.05 (0.58 - 1.45)","0.56 (0.4 - 0.64)","7.27 (5.85 - 10.2)","1.13 (1.13 - 1.13)","125048 (124317 - 125952)","602 (508 - 726)","1.87 (1.84 - 1.9)","0.84 (0.51 - 1.31)","0.48 (0.32 - 0.62)","10.6 (6.82 - 18.31)","2.51 (2.34 - 2.75)","2.26 (2.26 - 2.27)","250774 (249388 - 252677)","5682 (4562 - 6686)","1.13 (0.3 - 2.12)","0.67 (0.06 - 1.81)","0.59 (-0.02 - 1.6)","1.77 (1.76 - 1.78)","79070 (78493 - 79790)","202 (153 - 256)","4.22 (4.02 - 4.35)","1.16 (0.64 - 1.69)","1.41 (0.78 - 1.94)","0.69 (0.47 - 1.06)","1.76 (1.75 - 1.76)","78437 (77966 - 78952)","302 (259 - 363)","2.28 (2.23 - 2.33)","1.17 (0.72 - 1.92)","1.02 (0.6 - 1.72)","0.84 (0.49 - 1.42)","2.91 (2.72 - 3.16)","1.42 (1.42 - 1.43)","157374 (156527 - 158638)","2749 (2257 - 3297)","1.11 (0.31 - 2.01)","-1 (-1 - -1)","-357.23 (-506.29 - -238.54)","14.5 (14.4 - 14.6)","46688 (46383 - 47054)","32 (24 - 41)","9.06 (7.07 - 10.46)","1.24 (0.62 - 1.87)","-1 (-1 - -1)","-243.88 (-302.5 - -206.22)","14.49 (14.38 - 14.59)","46650 (46331 - 46985)","93 (84 - 119)","11.95 (11.06 - 12.64)","1.15 (0.8 - 1.83)","-1 (-1 - -1)","-278.19 (-355.12 - -234.04)","12.51 (11.99 - 12.97)","0.84 (0.84 - 0.85)","93362 (92714 - 94052)","685 (552 - 792)"
"10",0.44,0.05,52,34,1,"1.49 (0.64 - 2.21)","0.29 (-0.16 - 0.58)","7.62 (-8.67 - 19.51)","1.08 (1.07 - 1.08)","119698 (118649 - 120411)","406 (309 - 523)","3.85 (3.76 - 3.95)","1.47 (0.97 - 2.01)","0.46 (0.34 - 0.56)","7.45 (5.72 - 11.26)","1.07 (1.07 - 1.07)","118829 (118173 - 119727)","642 (521 - 712)","1.83 (1.8 - 1.87)","1.12 (0.79 - 1.59)","0.4 (0.27 - 0.53)","10.52 (6.84 - 16.92)","2.47 (2.3 - 2.66)","2.15 (2.14 - 2.15)","238636 (236818 - 240065)","6551 (5537 - 7406)","1.79 (0.71 - 2.58)","0.52 (-0.05 - 1.51)","1.05 (0.15 - 2.22)","1.79 (1.78 - 1.8)","80173 (79517 - 80795)","201 (149 - 252)","4.27 (4.15 - 4.43)","1.71 (1.09 - 2.33)","0.96 (0.62 - 1.43)","1.16 (0.82 - 1.61)","1.78 (1.77 - 1.78)","79432 (78922 - 80057)","334 (271 - 376)","2.31 (2.25 - 2.35)","1.71 (1.13 - 2.34)","0.78 (0.46 - 1.27)","1.4 (0.88 - 2.07)","2.95 (2.78 - 3.16)","1.44 (1.43 - 1.44)","159670 (158389 - 160717)","3308 (2811 - 3739)","1.56 (0.48 - 2.57)","-1 (-1 - -1)","-253.7 (-386.57 - -193.2)","12.24 (12.14 - 12.33)","39510 (39194 - 39775)","27 (21 - 37)","8.31 (6.97 - 9.38)","1.7 (1.09 - 2.65)","-1 (-1 - -1)","-172.35 (-210.5 - -147.69)","12.23 (12.12 - 12.31)","39430 (39139 - 39719)","88 (75 - 102)","10.24 (9.67 - 10.87)","1.71 (1.08 - 2.47)","-1 (-1 - -1)","-202.78 (-241.57 - -175.78)","10.64 (10.09 - 11.06)","0.71 (0.71 - 0.71)","78933 (78333 - 79506)","680 (596 - 772)"
