,anncov,hrcov,annint,hrint,gc.incid,gc.pia,gc.txyr1,gc.tx,gc.nnt,gc.tx.asymptyr1,gc.tx.asympt,gc.tx.symptyr1,gc.tx.sympt,gc.txperpy,gc.asympt.tests.py,gc.asympt.tests,ct.incid,ct.pia,ct.txyr1,ct.tx,ct.nnt,ct.tx.asymptyr1,ct.tx.asympt,ct.tx.symptyr1,ct.tx.sympt,ct.txperpy,ct.asympt.tests.py,ct.asympt.tests,sti.incid,sti.pia,sti.txyr1,sti.tx,sti.nnt,sti.tx.asymptyr1,sti.tx.asympt,sti.tx.symptyr1,sti.tx.sympt,sti.txperpy,sti.asympt.tests.py,sti.asympt.tests,gc.incid.g1,gc.pia.g1,gc.nnt.g1,gc.asympt.tests.py.g1,gc.asympt.tests.g1,gctx.g1,gctxpy.g1,ct.incid.g1,ct.pia.g1,ct.nnt.g1,ct.asympt.tests.py.g1,ct.asympt.tests.g1,cttx.g1,cttxpy.g1,sti.incid.g1,sti.pia.g1,sti.nnt.g1,sti.asympt.tests.py.g1,sti.asympt.tests.g1,tx.sti.g1,txperpy.sti.g1,gc.incid.g2,gc.pia.g2,gc.nnt.g2,gc.asympt.tests.py.g2,gc.asympt.tests.g2,gctx.g2,gctxpy.g2,ct.incid.g2,ct.pia.g2,ct.nnt.g2,ct.asympt.tests.py.g2,ct.asympt.tests.g2,cttx.g2,cttxpy.g2,sti.incid.g2,sti.pia.g2,sti.nnt.g2,sti.asympt.tests.py.g2,sti.asympt.tests.g2,tx.sti.g2,txperpy.sti.g2
1,0.44,0,52,26,2.98 (1.58 - 4.72),0 (0 - 0),434 (304 - 553),4317 (2692 - 5582),NA (NA - NA),39 (28 - 49),384 (255 - 502),394 (276 - 502),3919 (2454 - 5078),3.58 (3.5 - 3.64),0.7 (0.69 - 0.7),77372 (76886 - 78033),5.35 (4.29 - 6.36),0 (0 - 0),548 (452 - 626),5424 (4680 - 5973),NA (NA - NA),154 (129 - 179),1544 (1376 - 1718),386 (322 - 446),3858 (3305 - 4268),1.46 (1.43 - 1.47),0.69 (0.68 - 0.69),76066 (75694 - 76525),3.3 (2.65 - 4.17),0 (0 - 0),994 (833 - 1125),9708 (7761 - 11420),NA (NA - NA),194 (172 - 212),1914 (1714 - 2167),802 (662 - 909),7755 (6107 - 9210),2 (1.86 - 2.17),1.38 (1.38 - 1.39),153512 (152661 - 154380),3.44 (1.81 - 5.56),0 (0 - 0),NA (NA - NA),1.67 (1.66 - 1.68),77372 (76886 - 78033),NA,NA,6.2 (5 - 7.37),0 (0 - 0),NA (NA - NA),1.64 (1.63 - 1.65),76066 (75694 - 76525),NA,NA,4.85 (3.75 - 6.34),0 (0 - 0),NA (NA - NA),1.38 (1.38 - 1.39),153512 (152661 - 154380),NA,NA,0 (0 - 0),NA (NA - NA),NA (NA - NA),NA (NA - NA),0 (0 - 0),NA,NA,0 (0 - 0),NA (NA - NA),NA (NA - NA),NA (NA - NA),0 (0 - 0),NA,NA,0 (0 - 0),Inf (Inf - Inf),0 (0 - 0),0 (0 - 0),0 (0 - 0),NA,NA
2,0.484,0,52,26,2.64 (1.14 - 4.03),0.11 (-0.46 - 0.43),417 (293 - 525),3954 (2588 - 5274),1.31 (-1.45 - 2.98),41 (31 - 55),380 (264 - 546),376 (264 - 475),3563 (2345 - 4738),3.64 (3.54 - 3.73),0.77 (0.76 - 0.77),85015 (84412 - 85656),4.39 (3.34 - 5.41),0.12 (-0.07 - 0.29),570 (469 - 633),4988 (4186 - 5673),1.61 (-2.29 - 3.2),174 (147 - 194),1525 (1296 - 1714),390 (322 - 441),3444 (2908 - 3971),1.52 (1.5 - 1.54),0.76 (0.75 - 0.76),83694 (83391 - 84192),2.82 (2.19 - 3.51),0.1 (-0.15 - 0.28),1018 (825 - 1115),8990 (7184 - 10684),1.81 (-2.86 - 4.44),216 (190 - 238),1935 (1705 - 2116),796 (637 - 892),7120 (5540 - 8497),2.08 (1.94 - 2.23),1.52 (1.52 - 1.53),168750 (167862 - 169729),2.98 (1.31 - 4.71),0.05 (-0.37 - 0.62),1.53 (-3.31 - 5.8),1.67 (1.66 - 1.68),85015 (84412 - 85656),NA,NA,5.25 (3.9 - 6.29),0.06 (-0.15 - 0.28),3.16 (-7.02 - 6.65),1.64 (1.64 - 1.65),83694 (83391 - 84192),NA,NA,4.13 (3.17 - 5.02),0.01 (-0.21 - 0.25),1.93 (-6.79 - 8.12),1.52 (1.52 - 1.53),168750 (167862 - 169729),NA,NA,0 (0 - 0),NA (NA - NA),NA (NA - NA),NA (NA - NA),0 (0 - 0),NA,NA,0 (0 - 0),NA (NA - NA),NA (NA - NA),NA (NA - NA),0 (0 - 0),NA,NA,0 (0 - 0),Inf (Inf - Inf),0 (0 - 0),0 (0 - 0),0 (0 - 0),NA,NA
3,0.528,0,52,26,2.04 (0.99 - 3.89),0.2 (-0.47 - 0.51),432 (308 - 564),3428 (2507 - 5221),1.95 (-3.61 - 4.74),46 (32 - 61),378 (269 - 562),386 (268 - 499),3068 (2225 - 4673),3.68 (3.6 - 3.79),0.84 (0.83 - 0.84),92828 (92217 - 93498),3.04 (2.27 - 4.09),0.25 (0.04 - 0.38),570 (482 - 672),4356 (3612 - 5082),3.76 (1.9 - 6.3),184 (160 - 217),1413 (1194 - 1646),382 (320 - 448),2936 (2452 - 3416),1.59 (1.57 - 1.62),0.83 (0.82 - 0.83),91716 (91101 - 92236),2.24 (1.5 - 3.03),0.2 (-0.05 - 0.4),1048 (856 - 1152),8196 (6753 - 10017),2.98 (-3.82 - 6.97),238 (210 - 261),1814 (1570 - 2116),806 (652 - 891),6248 (5034 - 7868),2.19 (2 - 2.39),1.66 (1.66 - 1.67),184582 (183352 - 185633),2.35 (1.15 - 4.51),0.06 (-0.41 - 0.71),3.47 (-7.4 - 8.33),1.67 (1.66 - 1.68),92828 (92217 - 93498),NA,NA,3.58 (2.76 - 4.81),0.11 (-0.13 - 0.35),6.68 (-11.28 - 15.42),1.65 (1.64 - 1.65),91716 (91101 - 92236),NA,NA,3.27 (2.25 - 4.37),0.05 (-0.2 - 0.39),5.04 (-12.8 - 14.13),1.66 (1.66 - 1.67),184582 (183352 - 185633),NA,NA,0 (0 - 0),NA (NA - NA),NA (NA - NA),NA (NA - NA),0 (0 - 0),NA,NA,0 (0 - 0),NA (NA - NA),NA (NA - NA),NA (NA - NA),0 (0 - 0),NA,NA,0 (0 - 0),Inf (Inf - Inf),0 (0 - 0),0 (0 - 0),0 (0 - 0),NA,NA
4,0.572,0,52,26,1.67 (0.85 - 3.25),0.15 (-0.32 - 0.5),444 (315 - 573),3660 (2381 - 4704),2.74 (-8.12 - 6.72),52 (36 - 68),430 (284 - 558),392 (276 - 503),3222 (2095 - 4162),3.73 (3.62 - 3.8),0.9 (0.9 - 0.91),100454 (99698 - 101144),2.26 (1.79 - 3.2),0.33 (0.18 - 0.47),584 (479 - 656),3988 (3384 - 4668),4.84 (3.17 - 7.93),200 (172 - 234),1371 (1178 - 1617),376 (308 - 435),2576 (2197 - 3040),1.66 (1.64 - 1.7),0.89 (0.89 - 0.9),99197 (98664 - 99960),1.74 (1.14 - 2.44),0.25 (0.07 - 0.45),1054 (858 - 1136),7642 (6445 - 8846),5.38 (3.07 - 12.02),252 (231 - 280),1785 (1609 - 2058),794 (638 - 874),5848 (4660 - 6864),2.31 (2.1 - 2.48),1.8 (1.79 - 1.8),199772 (198396 - 201056),2 (1.01 - 3.79),-0.08 (-0.41 - 0.52),-4.43 (-11.55 - 12.29),1.67 (1.66 - 1.68),100454 (99698 - 101144),NA,NA,2.63 (2.06 - 3.79),0.15 (-0.06 - 0.47),9.53 (-12.28 - 21.62),1.65 (1.64 - 1.66),99197 (98664 - 99960),NA,NA,2.59 (1.71 - 3.58),0.05 (-0.16 - 0.41),6.59 (-22.42 - 16.33),1.8 (1.79 - 1.8),199772 (198396 - 201056),NA,NA,0 (0 - 0),NA (NA - NA),NA (NA - NA),NA (NA - NA),0 (0 - 0),NA,NA,0 (0 - 0),NA (NA - NA),NA (NA - NA),NA (NA - NA),0 (0 - 0),NA,NA,0 (0 - 0),Inf (Inf - Inf),0 (0 - 0),0 (0 - 0),0 (0 - 0),NA,NA
5,0.616,0,52,26,1.2 (0.47 - 2.36),0.34 (-0.1 - 0.6),413 (294 - 527),2792 (1946 - 4016),4.75 (-6.75 - 10.71),51 (37 - 66),343 (248 - 502),360 (256 - 464),2472 (1705 - 3526),3.73 (3.62 - 3.84),0.97 (0.97 - 0.98),107863 (107043 - 108898),1.68 (1.15 - 2.34),0.42 (0.29 - 0.54),592 (504 - 673),3608 (2985 - 4064),5.73 (4.08 - 8.91),213 (192 - 245),1326 (1103 - 1488),372 (312 - 426),2290 (1901 - 2574),1.74 (1.71 - 1.76),0.96 (0.96 - 0.97),106798 (106066 - 107416),1.27 (0.86 - 1.83),0.4 (0.21 - 0.51),1022 (882 - 1119),6456 (5367 - 7778),6.95 (4.7 - 10.63),271 (248 - 287),1694 (1439 - 1890),745 (617 - 828),4746 (3902 - 5866),2.35 (2.13 - 2.53),1.94 (1.93 - 1.94),214572 (213112 - 216315),1.39 (0.57 - 2.64),0.08 (-0.34 - 0.81),7.91 (-18.73 - 20.83),1.67 (1.67 - 1.68),107863 (107043 - 108898),NA,NA,1.98 (1.43 - 2.76),0.25 (0.01 - 0.57),12.96 (5.64 - 25.75),1.65 (1.65 - 1.66),106798 (106066 - 107416),NA,NA,1.86 (1.22 - 2.61),0.21 (-0.09 - 0.5),14.25 (-19.71 - 32.57),1.94 (1.93 - 1.94),214572 (213112 - 216315),NA,NA,0 (0 - 0),NA (NA - NA),NA (NA - NA),NA (NA - NA),0 (0 - 0),NA,NA,0 (0 - 0),NA (NA - NA),NA (NA - NA),NA (NA - NA),0 (0 - 0),NA,NA,0 (0 - 0),Inf (Inf - Inf),0 (0 - 0),0 (0 - 0),0 (0 - 0),NA,NA
6,0.44,0.1,52,26,0.36 (0 - 0.89),0.62 (0.34 - 0.76),384 (287 - 499),1834 (1156 - 2444),13.91 (8.05 - 22.89),70 (53 - 86),298 (208 - 393),319 (236 - 406),1530 (946 - 2050),4.07 (3.89 - 4.2),1.41 (1.41 - 1.42),156919 (155846 - 157732),0.26 (0.07 - 0.46),0.69 (0.61 - 0.76),666 (558 - 766),2235 (1910 - 2598),9.64 (8.14 - 13.21),300 (253 - 337),978 (847 - 1128),364 (311 - 424),1262 (1052 - 1479),2.13 (2.06 - 2.18),1.41 (1.41 - 1.41),156112 (155184 - 157083),0.29 (0.12 - 0.48),0.67 (0.55 - 0.73),1071 (897 - 1191),4105 (3392 - 4865),12.35 (9.88 - 18.24),366 (321 - 410),1284 (1134 - 1488),696 (581 - 798),2844 (2264 - 3384),2.82 (2.54 - 3.1),2.82 (2.82 - 2.83),312823 (311102 - 314796),0.39 (0 - 0.87),1.95 (0.68 - 3.61),-1.34 (-2.35 - -0.74),1.71 (1.71 - 1.72),73624 (72999 - 74169),NA,NA,0.3 (0.09 - 0.54),2.6 (1.96 - 3.49),-0.72 (-0.95 - -0.53),1.7 (1.7 - 1.71),72977 (72478 - 73563),NA,NA,0.37 (0.17 - 0.7),2.35 (1.45 - 3.2),-1.08 (-1.44 - -0.77),1.32 (1.32 - 1.33),146560 (145477 - 147782),NA,NA,0.28 (0 - 1.2),-1 (-1 - -1),-457.39 (-673.81 - -341.05),13.09 (12.97 - 13.17),83236 (82613 - 83700),NA,NA,0.32 (0.08 - 0.65),-1 (-1 - -1),-335.13 (-399.1 - -281.14),13.07 (12.97 - 13.15),83114 (82501 - 83581),NA,NA,0.4 (0.2 - 0.79),21.18 (15.45 - 27.13),18.66 (15.64 - 23.17),1.5 (1.49 - 1.51),166355 (165094 - 167290),NA,NA
7,0.44,0.2,52,26,0 (0 - 0.38),0.67 (0.38 - 0.8),430 (306 - 524),1558 (1091 - 2132),21.94 (14.01 - 43.9),92 (67 - 118),314 (219 - 412),332 (245 - 416),1252 (866 - 1715),4.37 (4.23 - 4.51),1.77 (1.76 - 1.77),196226 (195270 - 197652),0.02 (0 - 0.11),0.8 (0.75 - 0.83),644 (575 - 784),1648 (1395 - 1928),12.49 (11.19 - 15.12),330 (301 - 394),810 (703 - 936),320 (280 - 389),848 (708 - 990),2.35 (2.25 - 2.47),1.76 (1.76 - 1.77),195581 (194538 - 197176),0.08 (0.01 - 0.17),0.74 (0.67 - 0.8),1134 (945 - 1259),3364 (2740 - 3800),16.78 (13.32 - 22.25),436 (381 - 480),1147 (988 - 1289),685 (558 - 788),2148 (1735 - 2562),3.33 (2.83 - 3.63),3.53 (3.53 - 3.54),391700 (389900 - 394814),0 (0 - 0.38),2.7 (1.04 - 4.8),-7.69 (-13.46 - -5.41),1.41 (1.41 - 1.42),56508 (56152 - 56955),NA,NA,0.02 (0 - 0.13),5.06 (4.09 - 6.63),-4.16 (-4.85 - -3.55),1.4 (1.4 - 1.41),56062 (55759 - 56587),NA,NA,0.11 (0.01 - 0.23),3.76 (2.71 - 5.25),-5.57 (-7.09 - -4.48),1.01 (1.01 - 1.02),112638 (111929 - 113477),NA,NA,0 (0 - 0.36),-1 (-1 - -1),-494.27 (-697.67 - -357.74),11.21 (11.14 - 11.29),139744 (139049 - 140796),NA,NA,0 (0 - 0.12),-1 (-1 - -1),-443.21 (-532.03 - -370.51),11.2 (11.13 - 11.28),139584 (138780 - 140623),NA,NA,0.08 (0 - 0.22),14.22 (10.57 - 18.75),31.97 (26.6 - 39.6),2.52 (2.51 - 2.53),279295 (277802 - 281436),NA,NA
8,0.44,0.3,52,26,0 (0 - 0.07),0.76 (0.56 - 0.86),394 (274 - 534),1174 (806 - 1544),26.12 (16.9 - 45.2),98 (70 - 129),260 (184 - 354),300 (203 - 403),907 (623 - 1184),4.48 (4.29 - 4.61),2 (2 - 2.01),222258 (220343 - 223713),0 (0 - 0.01),0.84 (0.79 - 0.88),692 (575 - 793),1370 (1117 - 1664),14.45 (12.68 - 17.45),371 (322 - 420),719 (598 - 855),315 (260 - 362),660 (532 - 818),2.53 (2.42 - 2.67),2 (2 - 2),221785 (219951 - 223227),0 (0 - 0.05),0.8 (0.75 - 0.85),1114 (940 - 1220),2658 (2180 - 3121),19.19 (15.68 - 24.75),468 (416 - 525),1015 (876 - 1146),640 (528 - 700),1626 (1272 - 1907),3.44 (2.93 - 3.87),4 (3.99 - 4.01),444171 (440211 - 446875),0 (0 - 0.07),4.45 (2.13 - 8.38),-12.45 (-22.63 - -8.54),1.11 (1.11 - 1.12),41258 (40951 - 41541),NA,NA,0 (0 - 0.01),7.57 (5.72 - 10.51),-6.85 (-7.89 - -5.93),1.11 (1.1 - 1.11),41004 (40724 - 41258),NA,NA,0 (0 - 0.08),6 (4.41 - 7.88),-8.86 (-11.15 - -7.39),0.74 (0.74 - 0.75),82292 (81672 - 82766),NA,NA,0 (0 - 0.06),-1 (-1 - -1),-613.54 (-941.51 - -452.4),9.93 (9.87 - 9.99),180968 (179486 - 182234),NA,NA,0 (0 - 0),-1 (-1 - -1),-527.53 (-654.58 - -435.09),9.92 (9.86 - 9.97),180752 (179264 - 181946),NA,NA,0 (0 - 0.08),12.86 (9.96 - 16.88),41.52 (34.7 - 51.52),3.26 (3.25 - 3.27),361748 (358705 - 364116),NA,NA
9,0.44,0.4,52,26,0 (0 - 0),0.79 (0.67 - 0.86),400 (296 - 518),1081 (780 - 1363),27.64 (20.1 - 48.28),104 (74 - 136),255 (187 - 324),298 (222 - 382),824 (580 - 1048),4.49 (4.19 - 4.72),2.18 (2.17 - 2.18),241579 (240362 - 243324),0 (0 - 0),0.86 (0.82 - 0.89),676 (593 - 797),1256 (1030 - 1482),16.09 (14.18 - 19.57),386 (339 - 441),680 (580 - 805),294 (250 - 358),568 (461 - 682),2.65 (2.27 - 2.76),2.17 (2.17 - 2.18),240986 (239736 - 243010),0 (0 - 0.01),0.83 (0.79 - 0.87),1118 (956 - 1208),2391 (1968 - 2756),20.87 (16.92 - 26.42),495 (446 - 548),952 (814 - 1117),608 (513 - 674),1410 (1133 - 1664),3.59 (3.18 - 3.85),4.35 (4.34 - 4.36),482508 (480194 - 486383),0 (0 - 0),5.62 (3.2 - 8.73),-14.95 (-25.4 - -11.14),0.91 (0.9 - 0.91),31402 (31093 - 31638),NA,NA,0 (0 - 0),9.51 (7.4 - 12.41),-8.57 (-9.98 - -7.56),0.9 (0.9 - 0.91),31102 (30878 - 31284),NA,NA,0 (0 - 0.01),7.7 (6.25 - 9.88),-10.79 (-13.48 - -9.12),0.56 (0.56 - 0.57),62516 (61956 - 62892),NA,NA,0 (0 - 0),-1 (-1 - -1),-597.73 (-918.82 - -463.21),8.89 (8.84 - 8.94),210158 (209112 - 211876),NA,NA,0 (0 - 0),-1 (-1 - -1),-567.65 (-692.81 - -456.86),8.88 (8.83 - 8.92),209815 (208623 - 211757),NA,NA,0 (0 - 0.02),11.76 (9.4 - 15.21),48.58 (40.38 - 59.96),3.79 (3.78 - 3.8),420034 (417872 - 423631),NA,NA
10,0.44,0.5,52,26,0 (0 - 0),0.81 (0.68 - 0.89),416 (284 - 515),966 (696 - 1266),29.34 (20.3 - 50.59),110 (78 - 143),234 (178 - 319),304 (209 - 368),726 (507 - 950),4.41 (4.2 - 4.76),2.31 (2.3 - 2.32),256089 (254317 - 258014),0 (0 - 0),0.87 (0.84 - 0.9),716 (604 - 814),1238 (1011 - 1478),17.29 (15.31 - 20.93),410 (350 - 463),677 (562 - 800),302 (252 - 350),554 (448 - 665),2.56 (2.33 - 2.61),2.31 (2.3 - 2.31),255190 (253830 - 257508),0 (0 - 0),0.85 (0.81 - 0.88),1141 (966 - 1270),2204 (1887 - 2619),22.47 (18.4 - 28.05),518 (458 - 582),956 (811 - 1078),610 (508 - 687),1278 (1068 - 1566),3.58 (3.22 - 4),4.61 (4.6 - 4.62),511261 (508248 - 515472),0 (0 - 0),7.32 (3.96 - 12.77),-15.59 (-25.32 - -11.71),0.8 (0.8 - 0.81),25803 (25579 - 25969),NA,NA,0 (0 - 0),11.91 (8.97 - 14.79),-9.39 (-11.05 - -8.26),0.8 (0.79 - 0.8),25530 (25376 - 25772),NA,NA,0 (0 - 0),9.54 (7.27 - 12.03),-12.12 (-15.05 - -10.18),0.46 (0.46 - 0.47),51356 (50974 - 51730),NA,NA,0 (0 - 0),-1 (-1 - -1),-652.98 (-883.16 - -459.99),8.02 (7.98 - 8.04),230376 (228710 - 232142),NA,NA,0 (0 - 0),-1 (-1 - -1),-547.49 (-689.39 - -447.31),8 (7.96 - 8.03),229614 (228323 - 231843),NA,NA,0 (0 - 0),11.03 (8.26 - 13.79),54.34 (45.03 - 66.41),4.15 (4.14 - 4.16),459888 (457072 - 463712),NA,NA
