"","anncov","hrcov","annint","hrint","partcut","gc.incid","gc.pia","gc.tests","gctx","gctxpy","gc.nnt","ct.incid","ct.pia","ct.tests","cttx","cttxpy","ct.nnt","syph.incid","syph.pia","syph.tests","syphtx","syphearlytx","syphlatetx","syphtxpy","syphearlytxpy","syphlatetxpy","syph.nnt","gc.incid.g1","gc.pia.g1","gc.tests.g1","gctx.g1","gctxpy.g1","gc.nnt.g1","ct.incid.g1","ct.pia.g1","ct.tests.g1","cttx.g1","cttxpy.g1","ct.nnt.g1","syph.incid.g1","syph.pia.g1","syph.tests.g1","syphtx.g1","syphearlytx.g1","syphlatetx.g1","syphtxpy.g1","syphearlytxpy.g1","syphlatetxpy.g1","syph.nnt.g1","gc.incid.g2","gc.pia.g2","gc.tests.g2","gctx.g2","gctxpy.g2","gc.nnt.g2","ct.incid.g2","ct.pia.g2","ct.tests.g2","cttx.g2","cttxpy.g2","ct.nnt.g2","syph.incid.g2","syph.pia.g2","syph.tests.g2","syphtx.g2","syphearlytx.g2","syphlatetx.g2","syphtxpy.g2","syphearlytxpy.g2","syphlatetxpy.g2","syph.nnt.g2"
"1",0.44,0,52,26,1,"3.32 (2.2 - 5.14)","-0.3 (-0.75 - 0.24)","78725 (77782 - 79846)","408 (314 - 546)","3.12 (3.05 - 3.18)","-16.53 (-41.97 - 28.41)","5.19 (4.45 - 6.63)","-0.47 (-0.76 - -0.19)","78530 (77473 - 79042)","444 (412 - 505)","1.33 (1.31 - 1.35)","-19.7 (-33.8 - -13.4)","3.32 (1.41 - 5.82)","0.1 (-0.72 - 0.52)","54926 (53878 - 56026)","262 (226 - 323)","242 (208 - 304)","17 (14 - 20)","1.6 (1.34 - 1.77)","1.51 (1.24 - 1.69)","0.08 (0.07 - 0.09)","17.01 (-34.57 - 36.62)","2.76 (1.8 - 4.34)","-0.2 (-0.59 - 0.19)","76782 (76128 - 77336)","200 (157 - 271)","0 (0 - 0)","-0.05 (-0.07 - -0.04)","4.55 (3.85 - 5.73)","-0.37 (-0.67 - -0.17)","76511 (75746 - 76884)","256 (238 - 297)","2.08 (2.05 - 2.11)","-0.03 (-0.04 - -0.03)","3.18 (1.31 - 5.73)","0.03 (-0.78 - 0.44)","53684 (52988 - 54157)","163 (141 - 194)","146 (121 - 177)","17 (14 - 20)","4.03 (3.96 - 4.12)","3.67 (3.61 - 3.73)","0.35 (0.28 - 0.44)","-0.03 (-0.06 - -0.02)","0 (0 - 0)","0.86 (0.77 - 0.97)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","31.3 (30.89 - 31.54)","0 (0 - 0)","0.9 (0.83 - 0.98)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","22.98 (22.81 - 23.13)","0 (0 - 0)","0.98 (0.9 - 1.04)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","17.25 (17.12 - 17.36)"
"2",0.44,0.05,26,26,1,"0.45 (0.08 - 0.93)","0.46 (0.26 - 0.66)","161698 (159440 - 162674)","392 (310 - 544)","3.55 (3.43 - 3.67)","52.54 (40.14 - 76.77)","0.43 (0.19 - 0.72)","0.52 (0.4 - 0.62)","161532 (159037 - 162255)","525 (480 - 593)","1.87 (1.82 - 1.92)","38.78 (33.77 - 48.91)","1.3 (0.02 - 2.64)","0.39 (-0.19 - 0.73)","126824 (125238 - 127614)","338 (302 - 403)","248 (221 - 330)","77 (71 - 88)","3.34 (3.25 - 3.43)","3.16 (3.05 - 3.26)","0.19 (0.17 - 0.21)","56.64 (39.55 - 105.33)","0.43 (0.05 - 0.9)","0.34 (0.17 - 0.55)","149552 (147370 - 150349)","207 (163 - 286)","0.38 (0.37 - 0.4)","-0.22 (-0.31 - -0.17)","0.41 (0.19 - 0.69)","0.42 (0.3 - 0.51)","150046 (147824 - 150720)","336 (303 - 382)","3.67 (3.56 - 3.78)","-0.19 (-0.22 - -0.16)","1.33 (0 - 2.83)","0.28 (-0.35 - 0.64)","101831 (100695 - 102326)","187 (169 - 220)","143 (128 - 182)","39 (35 - 46)","4.85 (4.79 - 4.94)","4.56 (4.51 - 4.63)","0.29 (0.24 - 0.34)","-0.12 (-0.24 - -0.08)","0.16 (0 - 0.79)","0.39 (0.16 - 0.61)","11362 (11046 - 11453)","14 (9 - 19)","3.3 (2.41 - 3.93)","-0.25 (-0.36 - -0.18)","0.3 (0 - 0.63)","0.46 (0.32 - 0.61)","10764 (10534 - 10904)","23 (19 - 28)","2.68 (2.34 - 3.01)","-0.2 (-0.26 - -0.16)","0.98 (0 - 2.48)","0.45 (-0.16 - 0.73)","24052 (23784 - 24219)","52 (47 - 58)","12 (9 - 15)","38 (35 - 44)","7.37 (5.84 - 8.24)","4.27 (2.77 - 5.06)","2.99 (2.71 - 3.35)","-0.13 (-0.26 - -0.08)"
"3",0.44,0.05,39,26,1,"1.29 (0.57 - 2.21)","0.23 (-0.21 - 0.49)","121633 (120447 - 122422)","379 (303 - 536)","3.35 (3.27 - 3.44)","38.81 (-49.95 - 74.52)","1.27 (0.88 - 1.77)","0.24 (0.09 - 0.42)","120974 (119472 - 121588)","505 (461 - 570)","1.66 (1.62 - 1.69)","48.68 (35.71 - 72.08)","2.26 (0.84 - 4.9)","0.24 (-0.38 - 0.56)","101698 (100569 - 102675)","339 (302 - 411)","258 (222 - 334)","75 (69 - 86)","3.21 (3.1 - 3.27)","3.02 (2.89 - 3.11)","0.18 (0.16 - 0.21)","43.71 (-41.03 - 74.67)","1.16 (0.5 - 2.1)","0.18 (-0.18 - 0.43)","108722 (107705 - 109361)","194 (150 - 268)","0.31 (0.3 - 0.32)","-0.12 (-0.17 - -0.09)","1.15 (0.76 - 1.67)","0.2 (0.04 - 0.35)","109534 (108338 - 110181)","304 (276 - 357)","2.82 (2.76 - 2.88)","-0.1 (-0.11 - -0.08)","2.14 (0.76 - 4.51)","0.18 (-0.42 - 0.49)","71575 (70973 - 72094)","180 (158 - 216)","142 (122 - 179)","36 (32 - 42)","4.44 (4.38 - 4.53)","4.18 (4.12 - 4.25)","0.26 (0.22 - 0.32)","-0.08 (-0.14 - -0.05)","0.96 (0.31 - 2.01)","0.2 (-0.18 - 0.46)","11716 (11504 - 11812)","15 (10 - 20)","4.06 (3.36 - 4.72)","-0.12 (-0.19 - -0.09)","1.06 (0.46 - 1.67)","0.23 (0.03 - 0.43)","10436 (10228 - 10553)","24 (20 - 30)","3.11 (2.9 - 3.38)","-0.1 (-0.12 - -0.08)","2.18 (0.65 - 4.7)","0.22 (-0.32 - 0.56)","28958 (28706 - 29154)","55 (50 - 63)","14 (11 - 18)","39 (35 - 45)","8.54 (7.54 - 9.18)","5.24 (4.13 - 5.9)","3.22 (2.93 - 3.54)","-0.08 (-0.15 - -0.05)"
"4",0.44,0.05,52,26,1,"2.34 (1.34 - 3.54)","0 (0 - 0)","99801 (98987 - 100624)","384 (323 - 506)","3.25 (3.17 - 3.32)","2.21 (-52.15 - 58.14)","2.68 (2.07 - 3.52)","0 (0 - 0)","98872 (98018 - 99400)","467 (434 - 515)","1.51 (1.48 - 1.53)","2.84 (-74.45 - 78.53)","3.88 (1.43 - 6.36)","0 (0 - 0)","88013 (86957 - 89012)","343 (308 - 398)","266 (231 - 320)","74 (68 - 81)","3.08 (3.01 - 3.15)","2.9 (2.8 - 2.98)","0.18 (0.16 - 0.2)","7.12 (-39.86 - 59.63)","2.06 (1.18 - 3.28)","0 (0 - 0)","86360 (85764 - 86864)","188 (155 - 242)","0.28 (0.27 - 0.28)","-0.08 (-0.11 - -0.06)","2.4 (1.86 - 3.15)","0 (0 - 0)","87242 (86616 - 87722)","266 (243 - 300)","2.33 (2.29 - 2.37)","-0.06 (-0.07 - -0.05)","3.54 (1.26 - 5.84)","0 (0 - 0)","54680 (54244 - 55130)","179 (161 - 206)","142 (123 - 170)","36 (33 - 41)","3.98 (3.91 - 4.07)","3.73 (3.66 - 3.79)","0.26 (0.22 - 0.31)","-0.06 (-0.09 - -0.03)","2.09 (0.79 - 3.49)","0 (0 - 0)","11916 (11777 - 12044)","15 (11 - 21)","4.56 (4.04 - 5.05)","-0.08 (-0.11 - -0.06)","2.49 (1.65 - 3.62)","0 (0 - 0)","10296 (10108 - 10388)","25 (21 - 30)","3.25 (3.06 - 3.48)","-0.06 (-0.07 - -0.05)","3.6 (1.17 - 6.28)","0 (0 - 0)","31720 (31469 - 31956)","57 (50 - 63)","16 (13 - 21)","39 (34 - 44)","9.54 (8.72 - 10.03)","6.23 (5.22 - 6.77)","3.3 (2.97 - 3.64)","-0.05 (-0.09 - -0.03)"
"5",0.44,0.05,64,26,1,"3.49 (2.28 - 5.29)","-0.25 (-0.9 - 0.15)","86894 (85701 - 87893)","416 (329 - 566)","3.15 (3.08 - 3.19)","-18.38 (-40.78 - 21.2)","3.96 (3.03 - 5.08)","-0.22 (-0.54 - 0.03)","85552 (84281 - 86090)","456 (423 - 497)","1.4 (1.38 - 1.42)","-28.41 (-56.74 - -12.85)","4.42 (2.24 - 6.87)","-0.12 (-0.92 - 0.41)","79364 (78192 - 80286)","336 (306 - 397)","244 (215 - 316)","85 (78 - 94)","2.97 (2.91 - 3.03)","2.71 (2.64 - 2.78)","0.25 (0.24 - 0.28)","-22.72 (-60.95 - 50.03)","2.98 (1.86 - 4.49)","-0.19 (-0.73 - 0.12)","72994 (72140 - 73462)","204 (155 - 266)","0.25 (0.24 - 0.26)","-0.05 (-0.07 - -0.04)","3.37 (2.73 - 4.5)","-0.17 (-0.45 - 0.04)","73838 (72855 - 74237)","254 (233 - 281)","2.03 (2 - 2.06)","-0.04 (-0.05 - -0.04)","3.89 (1.91 - 5.92)","-0.07 (-0.83 - 0.39)","44354 (43778 - 44754)","169 (152 - 201)","122 (105 - 155)","45 (40 - 51)","3.62 (3.54 - 3.68)","3.18 (3.1 - 3.26)","0.43 (0.4 - 0.49)","-0.05 (-0.07 - -0.03)","2.87 (1.45 - 4.4)","-0.18 (-0.76 - 0.15)","11969 (11720 - 12096)","17 (12 - 24)","4.82 (4.32 - 5.26)","-0.05 (-0.07 - -0.04)","3.63 (2.34 - 4.99)","-0.21 (-0.46 - 0.02)","10112 (9844 - 10282)","25 (21 - 31)","3.25 (3.04 - 3.44)","-0.04 (-0.05 - -0.03)","4.35 (1.87 - 6.62)","-0.1 (-0.97 - 0.4)","33345 (32995 - 33572)","59 (53 - 66)","18 (15 - 22)","40 (35 - 46)","10.15 (9.47 - 10.6)","6.63 (6.03 - 7.19)","3.48 (3.18 - 3.81)","-0.04 (-0.07 - -0.03)"
"6",0.44,0.05,77,26,1,"4.18 (2.71 - 5.89)","-0.36 (-0.98 - 0.04)","77174 (76238 - 77995)","396 (311 - 542)","3.08 (3.03 - 3.14)","-16.82 (-33.18 - -9.35)","5.56 (4.26 - 6.82)","-0.47 (-0.85 - -0.23)","75878 (74454 - 76418)","438 (410 - 478)","1.32 (1.31 - 1.34)","-18.17 (-29.27 - -12.25)","3.76 (1.87 - 6.24)","0.08 (-0.78 - 0.45)","72446 (71410 - 73514)","327 (293 - 388)","241 (204 - 311)","82 (77 - 88)","2.87 (2.79 - 2.93)","2.61 (2.51 - 2.68)","0.27 (0.25 - 0.29)","-11.97 (-49.65 - 50.54)","3.59 (2.26 - 5.01)","-0.27 (-0.82 - 0.06)","62942 (62270 - 63356)","191 (151 - 251)","0.24 (0.23 - 0.24)","-0.04 (-0.06 - -0.03)","4.75 (3.65 - 5.87)","-0.38 (-0.71 - -0.17)","63801 (62965 - 64172)","233 (211 - 259)","1.81 (1.79 - 1.84)","-0.03 (-0.04 - -0.03)","3.45 (1.46 - 5.32)","0.12 (-0.61 - 0.45)","36370 (35849 - 36770)","160 (143 - 188)","116 (98 - 149)","42 (37 - 48)","3.34 (3.28 - 3.4)","2.92 (2.84 - 2.99)","0.43 (0.38 - 0.47)","-0.05 (-0.08 - -0.03)","3.39 (2.04 - 5.18)","-0.29 (-0.92 - 0.1)","12079 (11860 - 12195)","16 (10 - 23)","4.98 (4.52 - 5.34)","-0.04 (-0.06 - -0.03)","4.96 (3.58 - 6.28)","-0.44 (-0.75 - -0.16)","10095 (9797 - 10212)","26 (22 - 31)","3.22 (3.04 - 3.4)","-0.03 (-0.03 - -0.02)","3.69 (1.56 - 6.46)","0.03 (-0.75 - 0.46)","34673 (34352 - 34918)","59 (53 - 66)","17 (14 - 21)","40 (37 - 46)","10.38 (9.64 - 10.99)","6.52 (5.65 - 7.1)","3.87 (3.57 - 4.15)","-0.04 (-0.07 - -0.03)"
"7",0.44,0.05,52,4,1,"1.92 (0.83 - 3.09)","0.15 (-0.35 - 0.47)","152394 (150692 - 153491)","389 (311 - 522)","3.28 (3.19 - 3.34)","40.82 (-73.33 - 89.45)","2.36 (1.63 - 3.11)","0.05 (-0.2 - 0.23)","144100 (141818 - 145023)","489 (452 - 539)","1.55 (1.53 - 1.57)","52.88 (-85.44 - 114.56)","2.52 (0.98 - 4.31)","0.24 (-0.43 - 0.55)","118064 (116847 - 118884)","340 (301 - 391)","258 (223 - 315)","76 (69 - 86)","3.16 (3.08 - 3.23)","2.97 (2.88 - 3.07)","0.18 (0.16 - 0.2)","55.71 (-49.67 - 116.46)","1.62 (0.74 - 2.65)","0.13 (-0.28 - 0.41)","85758 (84898 - 86228)","192 (146 - 250)","0.27 (0.27 - 0.28)","-0.14 (-0.19 - -0.1)","2.11 (1.39 - 2.83)","0.05 (-0.17 - 0.22)","87018 (86098 - 87500)","271 (250 - 312)","2.32 (2.28 - 2.37)","-0.09 (-0.11 - -0.08)","2.37 (0.84 - 3.9)","0.23 (-0.36 - 0.51)","53036 (52534 - 53394)","174 (155 - 197)","133 (116 - 163)","38 (33 - 43)","3.97 (3.9 - 4.04)","3.71 (3.63 - 3.76)","0.26 (0.23 - 0.32)","-0.1 (-0.15 - -0.07)","1.74 (0.61 - 3.1)","0.11 (-0.42 - 0.37)","65170 (63958 - 65833)","20 (15 - 30)","7.64 (5.98 - 8.62)","-0.12 (-0.18 - -0.09)","2.22 (1.26 - 3.36)","-0.03 (-0.34 - 0.18)","55642 (53853 - 56476)","38 (33 - 46)","6.41 (5.9 - 6.96)","-0.08 (-0.1 - -0.07)","2.58 (0.94 - 4.84)","0.23 (-0.49 - 0.57)","63862 (63248 - 64174)","62 (55 - 68)","20 (16 - 25)","40 (35 - 45)","11.58 (9.99 - 12.46)","8.12 (6.48 - 9.08)","3.36 (3.09 - 3.73)","-0.09 (-0.14 - -0.06)"
"8",0.44,0.05,52,13,1,"2.25 (1.31 - 3.54)","0.04 (-0.45 - 0.35)","109428 (108620 - 110176)","378 (303 - 538)","3.26 (3.18 - 3.33)","23.49 (-62.37 - 57.2)","2.66 (1.94 - 3.63)","0.02 (-0.27 - 0.2)","107048 (106219 - 107793)","484 (448 - 556)","1.53 (1.51 - 1.55)","31.47 (-63.18 - 78.43)","3.01 (1.38 - 5.29)","0.17 (-0.55 - 0.52)","96580 (95642 - 97376)","332 (300 - 393)","252 (222 - 318)","76 (70 - 90)","3.15 (3.06 - 3.22)","2.96 (2.85 - 3.06)","0.18 (0.16 - 0.2)","39.17 (-55.21 - 78.18)","1.98 (1.1 - 3.18)","0.04 (-0.39 - 0.26)","86111 (85492 - 86600)","185 (150 - 249)","0.27 (0.27 - 0.28)","-0.09 (-0.12 - -0.07)","2.4 (1.75 - 3.18)","0.01 (-0.26 - 0.18)","87170 (86460 - 87633)","273 (247 - 323)","2.32 (2.28 - 2.37)","-0.06 (-0.08 - -0.05)","2.75 (1.24 - 4.68)","0.16 (-0.52 - 0.5)","53682 (53255 - 53993)","170 (153 - 202)","134 (114 - 163)","38 (33 - 43)","3.97 (3.9 - 4.05)","3.71 (3.64 - 3.78)","0.26 (0.23 - 0.31)","-0.07 (-0.12 - -0.05)","1.79 (0.89 - 3)","-0.06 (-0.49 - 0.35)","21816 (21517 - 22026)","19 (11 - 25)","6.07 (4.94 - 6.62)","-0.08 (-0.12 - -0.06)","2.63 (1.58 - 3.69)","-0.04 (-0.3 - 0.18)","18682 (18308 - 18905)","33 (27 - 39)","4.65 (4.32 - 4.97)","-0.06 (-0.07 - -0.05)","3.1 (1.24 - 5.37)","0.14 (-0.62 - 0.49)","41601 (41350 - 41888)","60 (54 - 66)","18 (16 - 23)","40 (35 - 46)","10.95 (9.56 - 11.7)","7.63 (6.23 - 8.46)","3.34 (3 - 3.64)","-0.07 (-0.11 - -0.04)"
"9",0.44,0.05,52,26,1,"2.4 (1.3 - 3.61)","0 (-0.48 - 0.3)","99874 (98917 - 100619)","391 (310 - 526)","3.24 (3.18 - 3.3)","-11.96 (-54.84 - 55.98)","2.78 (1.93 - 3.55)","0.01 (-0.24 - 0.23)","98898 (97637 - 99412)","478 (438 - 529)","1.51 (1.49 - 1.53)","29.39 (-65.75 - 84.08)","3.87 (1.93 - 6.56)","-0.02 (-0.71 - 0.43)","87951 (86654 - 88918)","328 (298 - 390)","252 (216 - 310)","76 (69 - 85)","3.08 (3.01 - 3.15)","2.91 (2.82 - 2.97)","0.18 (0.16 - 0.2)","-15.52 (-56.69 - 68.3)","2.13 (1.17 - 3.11)","0.01 (-0.42 - 0.28)","86434 (85621 - 86951)","195 (151 - 257)","0.27 (0.27 - 0.28)","-0.08 (-0.1 - -0.06)","2.34 (1.7 - 3.21)","0 (-0.23 - 0.2)","87246 (86361 - 87754)","273 (248 - 311)","2.34 (2.29 - 2.38)","-0.06 (-0.07 - -0.05)","3.43 (1.74 - 5.81)","-0.02 (-0.66 - 0.38)","54722 (54088 - 55202)","170 (154 - 198)","132 (115 - 164)","37 (33 - 43)","3.99 (3.93 - 4.06)","3.72 (3.66 - 3.78)","0.26 (0.23 - 0.31)","-0.06 (-0.08 - -0.04)","1.9 (0.93 - 3.35)","0.01 (-0.4 - 0.3)","11910 (11670 - 12016)","16 (11 - 21)","4.58 (3.99 - 5.11)","-0.07 (-0.11 - -0.06)","2.5 (1.51 - 3.49)","0 (-0.27 - 0.19)","10279 (10033 - 10417)","26 (22 - 32)","3.26 (3.07 - 3.47)","-0.06 (-0.07 - -0.05)","3.56 (1.65 - 6.44)","-0.02 (-0.86 - 0.39)","31714 (31444 - 31906)","57 (51 - 64)","15 (12 - 20)","40 (35 - 46)","9.49 (8.76 - 10.01)","6.27 (5.4 - 6.72)","3.27 (2.96 - 3.62)","-0.05 (-0.08 - -0.04)"
"10",0.44,0.05,52,34,1,"2.45 (1.48 - 3.64)","-0.01 (-0.57 - 0.31)","97360 (96498 - 98342)","382 (310 - 526)","3.22 (3.13 - 3.29)","-13.57 (-55.12 - 53.6)","2.88 (2.11 - 3.82)","-0.06 (-0.33 - 0.18)","96822 (95503 - 97452)","474 (436 - 526)","1.5 (1.48 - 1.52)","-24.63 (-65.74 - 64.08)","4.27 (1.57 - 6.75)","-0.03 (-0.92 - 0.43)","83898 (82646 - 84776)","337 (307 - 400)","259 (220 - 323)","76 (70 - 85)","3.05 (2.98 - 3.1)","2.87 (2.79 - 2.93)","0.18 (0.16 - 0.2)","-20.83 (-54.25 - 41.97)","2.08 (1.25 - 3.24)","0.01 (-0.48 - 0.27)","86478 (85755 - 87075)","194 (150 - 252)","0.27 (0.27 - 0.28)","-0.07 (-0.1 - -0.06)","2.56 (1.89 - 3.43)","-0.05 (-0.29 - 0.17)","87169 (86295 - 87676)","270 (246 - 310)","2.33 (2.29 - 2.37)","-0.06 (-0.07 - -0.05)","3.89 (1.46 - 5.96)","-0.01 (-0.86 - 0.41)","55556 (54926 - 55936)","177 (156 - 206)","141 (117 - 169)","37 (33 - 43)","3.99 (3.94 - 4.06)","3.73 (3.67 - 3.78)","0.26 (0.23 - 0.31)","-0.05 (-0.09 - -0.03)","1.96 (1.04 - 3.39)","0.02 (-0.53 - 0.34)","9426 (9269 - 9515)","14 (10 - 20)","4.13 (3.65 - 4.56)","-0.07 (-0.11 - -0.06)","2.42 (1.55 - 3.67)","-0.03 (-0.31 - 0.21)","8226 (8069 - 8314)","24 (20 - 29)","2.79 (2.6 - 2.94)","-0.05 (-0.07 - -0.05)","4.02 (1.48 - 6.27)","-0.01 (-0.88 - 0.47)","26686 (26451 - 26942)","56 (50 - 62)","15 (12 - 19)","39 (35 - 45)","9.11 (8.24 - 9.53)","5.8 (4.85 - 6.36)","3.24 (2.97 - 3.61)","-0.05 (-0.08 - -0.03)"
