"","elig","hiv.incid.low","hiv.incid","hiv.incid.high","hiv.hr.low","hiv.hr","hiv.hr.high","hiv.pia.low","hiv.pia","hiv.pia.high","hiv.nnt.low","hiv.nnt","hiv.nnt.high","gc.incid.low","gc.incid","gc.incid.high","gc.hr.low","gc.hr","gc.hr.high","gc.pia.low","gc.pia","gc.pia.high","gc.nnt.low","gc.nnt","gc.nnt.high","ct.incid.low","ct.incid","ct.incid.high","ct.hr.low","ct.hr","ct.hr.high","ct.pia.low","ct.pia","ct.pia.high","ct.nnt.low","ct.nnt","ct.nnt.high","syph.incid.low","syph.incid","syph.incid.high","syph.hr.low","syph.hr","syph.hr.high","syph.pia.low","syph.pia","syph.pia.high","syph.nnt.low","syph.nnt","syph.nnt.high"
"1","all",3.23530157413396,3.4085311516652,3.60734672047168,0.000869394055637402,0.000916400758934404,0.000980999486961103,-0.00466979234884396,-0.000352727379478978,0.00506947866697162,1229.37510442774,1822.2,2962.15020292208,0.187755209005197,0.593476205738583,1.07766133738923,0.0483383201194036,0.138472555264608,0.303912549683629,0.499788821066769,0.500788344781465,0.502033999604538,23.0071257188292,26.4119448618358,32.3957853384115,0.627518344099907,0.915205785555809,1.17452861314764,0.0926367432641069,0.136828952580864,0.187880163065402,0.501271289471783,0.50236843834292,0.503522185093505,14.887123700203,15.8958825823445,17.1758375301097,13.4923589963989,14.4984973535314,15.2381107622279,0.82177229295139,0.896498415346347,0.979283744706667,-0.00346738666576655,-0.000249792653559202,0.003435832101092,48.4189294595766,81.3545488271473,141.648582701956
"2","sti",3.3906002914643,3.5647318247755,3.76355008478138,0.000908708998204684,0.000966088837448282,0.00101526879359601,-0.00501986359296328,4.20584884122886e-05,0.00488413926428433,49.8111979166667,345.001318565401,656.961835106383,1.39352285057116,2.24958736192186,3.21898140929596,0.329281617452725,0.526730947818724,0.903423715674362,0.501264680639005,0.502422086593707,0.503607520713909,4.67684121922407,7.46587107096828,11.1697732819683,3.1876610734201,3.76638187972762,4.42706160676207,0.456651248315512,0.573900050821821,0.713339268331226,0.50655842266728,0.50793000139441,0.509247044216163,4.73339537976425,6.26272571154788,8.82687241125554,14.5993750263829,15.5211234708795,16.418056015563,0.874988643168434,0.960176500467758,1.04972787134288,-0.00393977085169059,-0.000331859699761614,0.00371133339625369,-18.470180142746,12.1802064595589,23.769342683339
"3","recentpartners",3.22610018120529,3.42743236150486,3.6098440299866,0.000865050988203487,0.000918417236744391,0.00097882185488119,-0.00483069429472218,-8.79165001183234e-05,0.00478980595334117,1088.80014510779,1728.08125214998,2963.33337628866,0.285733884680555,0.713245030816581,1.24391362581478,0.0736638566670447,0.186083730318529,0.355949434347507,0.499821214366051,0.500953730464926,0.502073864167902,20.5080041709248,25.2441563494067,32.4096547437919,0.935583068773672,1.31262689401885,1.59651057538857,0.145382078948535,0.195139409664668,0.257301369799383,0.502003627442397,0.503197538647175,0.504308600516769,13.9850635262891,15.3664455306745,16.5199175933835,13.7159246391616,14.6919277691169,15.5887064964539,0.828239432049406,0.912772139236433,0.996476935520231,-0.00343058836742583,-0.000166566154042554,0.00322144757809565,41.498176563017,72.4684822744963,145.426616072639
"4","newpartners",3.18668631015183,3.37618043142274,3.55503866976084,0.000855384624383787,0.000908797717324469,0.000959945856921339,-0.00559209244003835,-0.000401000064304163,0.00475491496222113,1139.60655918728,1769.01086956522,2801.29169453735,0.270475926459979,0.642388128847525,1.1944598827683,0.0659004709989306,0.168620720812895,0.310346443906204,0.499632571221709,0.500823244532261,0.502016586799459,23.2244305240083,26.7094501112528,32.830332787651,0.737058121496221,0.981297206138888,1.2626361373493,0.108766578973893,0.145521554860322,0.198942542710487,0.501301288587048,0.502470240573038,0.503700306690908,14.9407604211384,15.8934927072599,17.1660624558781,13.4156552089948,14.382093040235,15.3875267613789,0.810013032655928,0.893878127925791,0.991866575275907,-0.00378115531386849,4.64660794987058e-05,0.00326138793749891,48.2284699597329,75.0380967695548,128.634887085586
"5","concurrpartner",3.51672137317813,3.74145872229609,3.98169658146106,0.000947298545546262,0.00100994172105174,0.00107099383686817,-0.00480033327987655,-2.72817546302583e-07,0.00515206221184211,0,0,0,2.57947057848897,3.5949740134733,4.82230868926466,0.600161782583987,0.924075946511118,1.44265602441762,0.501884338052259,0.503434619844702,0.50516667243727,0,0,0,5.84078404725915,6.56155070295544,7.43687046013298,0.867302597953951,0.994671030876296,1.15339070865266,0.509964296681201,0.511372926453571,0.513205145200446,-0.0742936134315261,-0.0307297006848226,0.0704749791214782,15.1380494545963,15.9505044047541,16.9555421595373,0.913112915137133,0.984637272804161,1.07969737628479,-0.00342598178863137,-0.000198363699406452,0.00404084221014799,0,0,0
"6","partnersti",3.53298071809869,3.71693811697092,3.94457405972202,0.000944763805068859,0.000996359729493744,0.00106415815039069,-0.00459784209467163,-7.96682132438543e-05,0.00437473739666384,0,0,0,2.41612847201706,3.49729538531669,4.58259457505019,0.549020013019115,0.892273436113252,1.38018405110722,0.502258333170134,0.503416963124988,0.504662738557121,0,0,0,5.58030044007068,6.34602279403857,7.22275755416453,0.820059426830597,0.96362548472243,1.14526553299905,0.510094551174022,0.511323449146087,0.512591287549646,-0.107376035664718,-0.0250452556843779,0.073860119047619,15.1515977255869,16.094948224827,17.0013812802626,0.916694187340067,1.00379694674116,1.08475596985142,-0.0033957028856835,7.20151803066883e-05,0.0030137220839023,0,0,0
"7","uai.nmain",3.22500367038898,3.41647528633768,3.60796388377999,0.000858433168819911,0.000915482924178866,0.000979102774545089,-0.00473764906280887,-0.00066154938187718,0.00527377647958095,839.270570321152,1449.7389876881,2525.52434343434,0.304840038468689,0.633767354813589,1.12285673594904,0.0736359102788961,0.159111397929745,0.312416226480813,0.499864855793504,0.500931503825225,0.502058749558629,18.1755773198983,20.7111724788715,26.3552794178223,0.851961935281549,1.16293569564072,1.44024895339787,0.12768607777428,0.182618654828649,0.224156073519027,0.502022605369957,0.503065074497733,0.50428298133397,12.2039425685463,13.0668893101581,14.0856282493421,13.7446560286894,14.702059257787,15.7338363035361,0.826172993228571,0.909400005375182,1.0020955980711,-0.00357718885017585,-0.000111975952119831,0.00363203763402613,38.2124826699814,64.4747052321297,117.991101984942
"8","uai.any",3.20680357625352,3.39403675440048,3.56677026015541,0.000854140687842576,0.000905048094317752,0.000960421961609302,-0.00420141862973972,-0.000254524806622774,0.00356132712397637,1098.94601165544,1695.05494065494,2548.45909836066,0.212086150460403,0.555797318312275,1.08657639450585,0.0498046735008863,0.139822832683016,0.312958389258128,0.499814884063074,0.500660664654752,0.501600637380246,21.5153506618728,25.1159855147439,30.4028002740296,0.638069859516528,0.904335997434542,1.22732792300829,0.0964737694967645,0.136548135494341,0.191737860645072,0.50124600901667,0.502217257349153,0.50332580399547,14.0625997556761,15.0032884206431,16.1320748428514,13.5682596903433,14.3411581869282,15.2113769175383,0.810222720787939,0.883733449393174,0.976786132447461,-0.00362221963350313,-0.000551939178293364,0.00286935674762201,49.3946011438625,75.9828195681473,128.174478736107
"9","cdc1",3.2585367938385,3.43182807343064,3.59618892169365,0.000874178260905989,0.000917682271284923,0.000972456739083334,-0.00456413227828568,-0.000775324768587031,0.00470045024864661,1202.68933823529,1863.59337209302,3078.65330188679,0.319226778038828,0.649136428345975,1.19886195467717,0.0752175273687626,0.17557594588125,0.344592937086874,0.4997602320515,0.500768551969861,0.50190728991612,22.9961479270324,26.6419151578193,32.0510043886822,0.71909082107927,0.989936532301682,1.2591859036219,0.103604481722877,0.15483710928934,0.197078327725899,0.501349917338293,0.502275060665734,0.503465092869955,14.8507471646669,15.6749890714516,16.6170585391866,13.5671975105853,14.5274865269673,15.2739581495396,0.820150046489728,0.89576983993175,0.982156425153601,-0.00338051813793723,-0.000201435772265703,0.00277961135815199,55.4224865270784,85.6108265630519,158.826164244413
"10","cdc2",3.19009076526929,3.36784052275048,3.52154373542098,0.000857220103602069,0.000901365424425365,0.000957144591636805,-0.00475559465650786,-0.000383937628566071,0.00406549837921459,1113.74984908639,1648.08736576282,2852.8359962406,0.286407016839501,0.704245485750959,1.16051907656324,0.0706358006976716,0.17635437569314,0.332226404108892,0.49984133727098,0.501025944423969,0.501876512702119,23.0228109822418,26.6715831350062,32.6763594343254,0.740925813463995,1.02893029891924,1.34583191324236,0.109103340985261,0.152631739019375,0.211917975435294,0.501571002849178,0.502527106952479,0.503627638268041,14.8705183623352,15.9292901984876,17.1904171450917,13.4785058419222,14.4353597330461,15.2684635831847,0.807520160077906,0.889640440843258,0.980444081790621,-0.00349552906760703,-0.000242236107102365,0.00319973057397457,42.9130748175896,73.3589845954129,148.220037538912
